city,country,id,latitude,longitude,temp_f,humidity,cloudiness,wind_speed,date
santiago del estero,ar,3835869.0,-27.8,-64.26,74.01,73.0,36.0,3.27,1553475026.0
sibolga,id,1213855.0,1.74,98.78,67.89,100.0,32.0,1.59,1553475169.0
nhulunbuy,au,2064735.0,-12.18,136.78,87.8,74.0,75.0,12.75,1553472000.0
atar,mr,2381334.0,20.52,-13.05,58.53,44.0,0.0,2.71,1553475170.0
asuncion,py,3439389.0,-25.3,-57.63,78.8,61.0,0.0,5.82,1553472000.0
palmer,us,5871146.0,61.6,-149.11,45.0,65.0,90.0,11.41,1553475138.0
tres arroyos,ar,3833859.0,-38.38,-60.28,56.91,83.0,92.0,13.0,1553475171.0
ulladulla,au,2145554.0,-35.36,150.48,78.91,50.0,0.0,12.75,1553474654.0
aneho,tg,2367990.0,6.23,1.6,82.4,88.0,20.0,10.29,1553472000.0
jamestown,sh,3370903.0,-15.94,-5.72,76.89,100.0,92.0,16.58,1553475172.0
bilibino,ru,2126682.0,68.06,166.44,8.22,62.0,8.0,6.85,1553475173.0
hilo,us,5855927.0,19.71,-155.08,71.37,73.0,90.0,9.17,1553475017.0
provideniya,ru,4031574.0,64.42,-173.23,32.0,97.0,90.0,11.18,1553472000.0
port elizabeth,za,964420.0,-33.92,25.57,69.8,94.0,75.0,14.99,1553472000.0
coahuayana,mx,3981460.0,18.62,-100.35,85.89,20.0,0.0,2.48,1553475158.0
acapulco,mx,3533462.0,16.86,-99.88,84.2,70.0,20.0,14.99,1553471100.0
montbeliard,fr,2992938.0,47.52,6.8,43.57,93.0,0.0,4.7,1553475142.0
caxias,br,3391489.0,-4.87,-43.35,71.67,98.0,92.0,2.37,1553475176.0
gamba,ga,2400547.0,-2.72,10.02,81.84,100.0,80.0,7.18,1553475177.0
ayagoz,kz,1525988.0,47.96,80.43,16.23,71.0,32.0,3.15,1553475177.0
yatou,cn,1783956.0,33.81,104.32,23.7,97.0,8.0,1.7,1553475178.0
anadyr,ru,2127202.0,64.73,177.51,23.5,92.0,90.0,26.84,1553474586.0
grindavik,is,3416888.0,63.84,-22.43,33.35,100.0,90.0,18.34,1553474681.0
fort nelson,ca,5955902.0,58.81,-122.69,53.6,37.0,40.0,6.93,1553472000.0
hambantota,lk,1244926.0,6.12,81.12,71.6,100.0,5.0,4.7,1553472600.0
prince rupert,ca,6113406.0,54.32,-130.32,53.6,54.0,1.0,12.75,1553472000.0
marsa matruh,eg,352733.0,31.35,27.25,57.2,62.0,0.0,17.22,1553472000.0
tallahassee,us,4174715.0,30.44,-84.28,66.31,59.0,20.0,4.7,1553475049.0
broken hill,au,2173911.0,-31.97,141.45,64.4,68.0,40.0,21.92,1553472000.0
pauini,br,3662927.0,-7.71,-67.0,81.03,87.0,48.0,2.59,1553475181.0
alice springs,au,2077895.0,-23.7,133.88,80.6,65.0,75.0,14.99,1553472000.0
east london,za,1006984.0,-33.02,27.91,72.66,100.0,44.0,17.81,1553474999.0
port antonio,jm,3489005.0,18.18,-76.45,80.6,69.0,20.0,9.17,1553472000.0
pisco,pe,3932145.0,-13.71,-76.2,71.6,78.0,0.0,18.34,1553472000.0
kalabagh,pk,1185056.0,34.07,73.37,57.0,78.0,0.0,1.99,1553474933.0
ribeira grande,pt,3372707.0,38.52,-28.7,58.8,100.0,44.0,2.15,1553475183.0
macapa,br,3396016.0,0.05,-51.07,77.0,100.0,90.0,5.82,1553472000.0
kavaratti,in,1267390.0,10.57,72.64,83.1,100.0,0.0,2.93,1553474891.0
ilhabela,br,3461425.0,-23.78,-45.36,78.6,100.0,0.0,11.65,1553475148.0
khatanga,ru,2022572.0,71.98,102.47,6.24,80.0,68.0,10.87,1553474931.0
qasigiannguit,gl,3420768.0,68.82,-51.19,30.2,58.0,80.0,21.92,1553471400.0
alofi,nu,4036284.0,-19.06,-169.92,86.0,51.0,24.0,14.99,1553472000.0
monrovia,lr,2274895.0,6.33,-10.8,78.8,94.0,20.0,6.62,1553472000.0
hasilpur,pk,1177042.0,29.69,72.55,59.88,89.0,64.0,3.71,1553475187.0
arraial do cabo,br,3471451.0,-22.97,-42.02,79.05,90.0,24.0,9.98,1553475187.0
terney,ru,2015352.0,45.05,136.61,36.93,81.0,0.0,5.73,1553475187.0
trincomalee,lk,1226260.0,8.58,81.23,68.34,87.0,0.0,3.94,1553475188.0
urgut,uz,1215839.0,39.41,67.25,46.4,81.0,44.0,9.17,1553472000.0
banda aceh,id,1215502.0,5.56,95.32,75.45,98.0,68.0,1.7,1553475064.0
jega,ng,2336237.0,12.22,4.38,76.17,60.0,48.0,3.04,1553475189.0
tecoman,mx,3982213.0,18.91,-103.87,84.2,32.0,5.0,17.22,1553470800.0
kendari,id,1640344.0,-3.99,122.52,78.6,96.0,8.0,3.94,1553475190.0
marfino,ru,503977.0,56.07,37.56,32.0,92.0,40.0,11.18,1553474509.0
georgetown,sh,2411397.0,-7.93,-14.42,81.48,100.0,100.0,10.76,1553475191.0
belmonte,br,3448454.0,-26.84,-53.58,70.0,99.0,0.0,5.73,1553475003.0
skibbereen,ie,2961459.0,51.55,-9.27,42.8,87.0,40.0,6.93,1553473800.0
revda,ru,502010.0,67.94,34.55,27.3,94.0,92.0,2.71,1553475192.0
lima,pe,3936456.0,-12.06,-77.04,71.8,78.0,0.0,12.75,1553474528.0
veraval,in,1253237.0,20.9,70.37,78.42,57.0,32.0,15.46,1553475193.0
presidencia roque saenz pena,ar,3840300.0,-26.79,-60.44,77.7,66.0,64.0,3.6,1553475193.0
cherskiy,ru,2126199.0,68.75,161.3,1.38,60.0,0.0,5.17,1553474933.0
burley,us,5587385.0,42.54,-113.79,43.5,86.0,90.0,13.87,1553474700.0
mayskiy,ru,528248.0,43.63,44.06,35.2,74.0,90.0,2.24,1553472000.0
ust-kuyga,ru,2013921.0,70.0,135.55,-12.85,78.0,8.0,3.38,1553475196.0
herat,af,1140026.0,34.35,62.22,43.95,68.0,0.0,6.96,1553475196.0
kaitangata,nz,2208248.0,-46.28,169.85,71.58,79.0,68.0,3.83,1553474951.0
katsuura,jp,1865309.0,33.93,134.5,50.86,61.0,75.0,4.7,1553474572.0
eureka,us,5563397.0,40.8,-124.16,58.28,100.0,1.0,11.41,1553474910.0
asosa,et,343292.0,10.07,34.53,74.19,57.0,92.0,2.93,1553475198.0
